,Name,Latitude,Longitude,Altitude,zona_allertamento
ALASS,Alassio,44.00624,8.1693,25,A
AREPO,Arenzano-Porto,44.3981,8.68775,3,B
BMARO,Borgomaro,43.97713,7.95315,250,A
BOACM,BOA Capo Mele,43.92167,8.177,0,nan
BONUO,Borgonuovo,43.84601,7.62104,115,A
BRATT,Passo del Brattello,44.45624,9.82294,955,nan
CAMOG,Camogli,44.34704,9.15931,60,B
CASON,Casoni di Suvero,44.30542,9.76581,1070,C
CAVIP,Cavi di Lavagna,44.29669,9.3735,110,C
CCADB,Colle di Cadibona,44.33297,8.38289,385,B
CCHER,Cichero,44.42107,9.32194,615,C
CENES,Cenesi,44.07678,8.13421,110,A
CHIRI,Chiavari,44.31885,9.32978,50,C
CLARI,Castellari,44.14665,8.26235,91,A
CRAIN,Cipressa,43.85263,7.92859,285,A
CRNLO,Corniolo,44.10632,9.73483,238,C
CUCCA,Cuccarello,44.34967,9.69908,835,C
DCAVV,Diano Castello - Varcavello,43.91987,8.06768,56,A
DEGIR,Dego - Girini,44.45176,8.33939,450,D
FFRES,Fontana Fresca,44.4029,9.09318,791,B
FRAMU,Framura,44.21359,9.54033,421,C
GECER,Genova - Certosa,44.42439,8.88997,30,B
GEPOA,Genova - Porto Antico,44.40816,8.92317,25,B
GIACO,Giacopiane - Lago,44.46112,9.38773,1040,C
IMPER,Imperia - Oss. Meteosismico,43.87957,8.01652,71,A
INASV,Savona - Istituto Nautico,44.3062,8.48305,24,B
LAVPO,Lavagna - Porto,44.30691,9.34056,16,C
LEVAN,Levanto,44.17143,9.60677,6,C
LUNIS,Luni - Provasco,44.07491,10.00899,5,C
LVTSG,Levanto - San Gottardo,44.17888,9.6187,85,C
MALOA,Marina Loano,44.13386,8.26713,25,A
MMAUR,Monte Maure,43.7933,7.61888,210,A
MOPEN,Monte Pennello,44.48017,8.79867,980,B
MROCC,Monte Rocchetta,44.07129,9.93842,405,C
MSETT,Monte Settepani,44.24398,8.19581,1375,D
MTECA,Monte Cappellino,44.54856,8.95422,620,B
MTMEZ,Monte di Mezzo,44.5598,9.43978,1250,E
MTPOR,Monte Portofino,44.32709,9.16912,610,B
PFEAR,Poggio Fearza,44.04202,7.79343,1845,A
PNTCA,Pontremoli - La Costa,44.36957,9.89257,340,nan
PORNA,Pornassio,44.06393,7.86644,475,A
PPICC,Pietra Piccata,44.33964,9.82325,955,nan
PTURC,Passo del Turchino,44.48613,8.73602,590,B
PVENE,Portovenere - Comune,44.052,9.83594,40,C
RANZO,Ranzo,44.06542,8.00433,343,A
RIGHI,Genova - Castellaccio,44.42797,8.93433,360,B
SALBE,Bargagli,44.43845,9.10735,702,B
SMARG,S. Margherita Ligure,44.3362,9.21045,30,C
SPZIA,La Spezia,44.10703,9.82819,35,C
SREMO,Sanremo,43.82265,7.78625,61,A
STBUR,Stella - Burdone,44.4061,8.50244,570,B
STILA,Genova - S.Ilario,44.384,9.06066,174,B
TAGLT,Taglieto,44.4053,9.6205,895,C
TANOR,Tanadorso,44.61948,8.91803,770,E
TOGAR,Torriglia - Garaventa,44.52931,9.17495,1032,E
VIFRA,Villafranca Lunigiana,44.25042,9.96878,156,nan
VLFOL,Villafranca - Fornoli,44.25042,9.96878,156,nan
